year,team,ranking_type,avg,points
2009,LSU,recruiting,91.51,293.15
2009,USC,recruiting,93.59,289.28
2009,Alabama,recruiting,91.39,288.63
2009,Georgia,recruiting,91.81,283.72
2009,Ohio State,recruiting,91.28,281.93
2009,Texas,recruiting,92.13,277.12
2009,Florida,recruiting,91.93,270.42
2009,Tennessee,recruiting,90.66,264.62
2009,Oklahoma,recruiting,89.6,262.78
2009,Michigan,recruiting,90.41,262.72
2009,Florida State,recruiting,89.94,259.63
2009,North Carolina,recruiting,88.05,258.85
2009,UCLA,recruiting,88.24,258.45
2009,South Carolina,recruiting,87.79,257.08
2009,Notre Dame,recruiting,88.46,246.29
2009,Miami,recruiting,89.48,242.24
2009,Ole Miss,recruiting,86.14,240.24
2009,Mississippi State,recruiting,86.96,233.49
2009,Penn State,recruiting,86.97,233.47
2009,Arkansas,recruiting,86.54,232.93
2009,Stanford,recruiting,87.45,232.43
2009,Michigan State,recruiting,86.49,229.62
2009,Auburn,recruiting,86.6,226.93
2009,West Virginia,recruiting,86.43,225.23
2009,Virginia Tech,recruiting,86.0,224.32
2009,South Florida,recruiting,85.61,222.52
2009,Texas A&M,recruiting,86.53,219.98
2009,Illinois,recruiting,85.61,214.15
2009,Rutgers,recruiting,85.76,214.01
2009,Oregon,recruiting,84.51,212.76
2009,Maryland,recruiting,85.21,211.59
2009,Arizona State,recruiting,85.08,211.24
2009,Virginia,recruiting,84.58,210.97
2009,Oklahoma State,recruiting,85.33,209.57
2009,Minnesota,recruiting,86.03,209.2
2009,Clemson,recruiting,89.81,207.86
2009,California,recruiting,86.06,206.98
2009,Missouri,recruiting,85.12,206.45
2009,Texas Tech,recruiting,85.6,206.43
2009,Nebraska,recruiting,86.75,201.57
2009,Georgia Tech,recruiting,85.47,201.51
2009,Wisconsin,recruiting,84.45,199.62
2009,Pittsburgh,recruiting,85.64,197.86
2009,TCU,recruiting,85.65,196.02
2009,Kansas,recruiting,85.4,195.98
2009,Utah,recruiting,83.75,195.36
2009,Kentucky,recruiting,81.9,193.54
2009,NC State,recruiting,84.75,192.15
2009,Colorado,recruiting,84.61,188.77
2009,Arizona,recruiting,84.23,184.83
2009,Oregon State,recruiting,83.13,184.11
2009,Southern Miss,recruiting,83.54,183.5
2009,Baylor,recruiting,82.87,183.32
2009,Duke,recruiting,82.69,181.94
2009,BYU,recruiting,83.38,181.77
2009,Cincinnati,recruiting,81.3,176.05
2009,Louisville,recruiting,82.6,174.46
2009,Tulsa,recruiting,82.9,174.21
2009,Troy,recruiting,77.66,172.43
2009,Vanderbilt,recruiting,84.18,169.67
2009,Northwestern,recruiting,83.6,169.62
2009,Wake Forest,recruiting,82.22,167.36
2009,Washington State,recruiting,82.86,166.89
2009,Iowa,recruiting,81.98,165.44
2009,Boston College,recruiting,82.84,164.59
2009,Indiana,recruiting,82.34,163.75
2009,UCF,recruiting,82.14,163.27
2009,Houston,recruiting,81.33,162.28
2009,Boise State,recruiting,81.99,161.31
2009,Kansas State,recruiting,82.22,160.93
2009,Purdue,recruiting,81.97,160.65
2009,Iowa State,recruiting,82.28,159.69
2009,SMU,recruiting,80.94,159.25
2009,Louisiana Tech,recruiting,80.63,155.85
2009,Washington,recruiting,81.44,154.97
2009,Central Michigan,recruiting,79.67,154.04
2009,FIU,recruiting,79.66,152.22
2009,Hawaii,recruiting,80.44,151.83
2009,Tulane,recruiting,79.99,150.56
2009,UAB,recruiting,78.75,149.82
2009,UConn,recruiting,80.35,142.56
2009,Middle Tennessee,recruiting,79.5,135.97
2009,Rice,recruiting,79.18,133.54
2009,UNLV,recruiting,79.84,132.75
2009,San Diego State,recruiting,79.22,131.67
2009,Toledo,recruiting,77.3,131.44
2009,Fresno State,recruiting,79.66,130.4
2009,Memphis,recruiting,79.24,130.01
2009,Miami (OH),recruiting,78.36,129.69
2009,Bowling Green,recruiting,78.75,129.11
2009,Marshall,recruiting,78.55,128.95
2009,Syracuse,recruiting,80.49,128.0
2009,Kent State,recruiting,77.8,125.9
2009,Colorado State,recruiting,79.0,125.17
2009,Akron,recruiting,78.25,124.68
2009,Wyoming,recruiting,78.63,124.54
2009,East Carolina,recruiting,77.88,124.38
2009,Western Michigan,recruiting,78.67,123.17
2009,Nevada,recruiting,78.82,120.06
2009,North Texas,recruiting,79.09,116.92
2009,Louisiana-Monroe,recruiting,77.15,116.77
2009,Northern Illinois,recruiting,77.41,114.72
2009,Ohio,recruiting,76.08,105.11
2009,Eastern Michigan,recruiting,77.29,102.1
2009,Air Force,recruiting,77.06,95.62
2009,New Mexico,recruiting,76.65,95.54
2009,New Mexico State,recruiting,76.78,91.92
2009,Buffalo,recruiting,75.11,90.58
2009,Utah State,recruiting,75.8,84.41
2009,Temple,recruiting,74.33,82.03
2009,Arkansas State,recruiting,74.9,80.06
2009,Idaho,recruiting,74.84,78.81
2009,Louisiana,recruiting,75.77,77.11
2009,Army,recruiting,73.64,68.46
2009,Navy,recruiting,73.89,19.31
2009,Illinois State,recruiting,88.75,18.75
2009,Alabama State,recruiting,76.67,6.67
2009,San Jose State,recruiting,70.0,0.0
2010,Florida,recruiting,93.99,324.62
2010,Texas,recruiting,93.9,312.07
2010,USC,recruiting,93.37,294.73
2010,Alabama,recruiting,89.95,284.2
2010,Oklahoma,recruiting,90.85,283.58
2010,Auburn,recruiting,88.09,277.2
2010,Tennessee,recruiting,88.45,271.56
2010,Florida State,recruiting,89.2,271.41
2010,LSU,recruiting,89.86,267.84
2010,UCLA,recruiting,89.55,263.81
2010,Georgia,recruiting,90.41,259.87
2010,Oregon,recruiting,87.74,250.88
2010,Penn State,recruiting,90.64,249.63
2010,Miami,recruiting,87.48,249.55
2010,Notre Dame,recruiting,88.44,241.92
2010,Texas A&M,recruiting,87.72,240.98
2010,Michigan,recruiting,87.46,237.54
2010,Ohio State,recruiting,87.57,237.38
2010,Washington,recruiting,85.73,234.35
2010,California,recruiting,88.89,233.8
2010,Missouri,recruiting,87.77,229.0
2010,Michigan State,recruiting,85.72,225.56
2010,North Carolina,recruiting,87.44,224.64
2010,Ole Miss,recruiting,86.64,223.7
2010,Stanford,recruiting,87.38,223.33
2010,Nebraska,recruiting,87.29,219.7
2010,Clemson,recruiting,85.94,218.08
2010,Virginia Tech,recruiting,87.2,214.01
2010,Oklahoma State,recruiting,86.28,213.1
2010,Mississippi State,recruiting,84.41,212.47
2010,Pittsburgh,recruiting,86.43,212.43
2010,West Virginia,recruiting,86.46,211.69
2010,BYU,recruiting,85.24,211.56
2010,South Carolina,recruiting,84.12,210.39
2010,NC State,recruiting,85.08,208.25
2010,Iowa,recruiting,83.81,208.14
2010,Texas Tech,recruiting,84.69,207.32
2010,Baylor,recruiting,85.0,206.15
2010,Maryland,recruiting,85.91,205.67
2010,Arizona State,recruiting,85.55,203.28
2010,Arkansas,recruiting,84.2,203.21
2010,Utah,recruiting,86.05,202.2
2010,Georgia Tech,recruiting,84.78,201.21
2010,Louisville,recruiting,84.24,197.18
2010,Boston College,recruiting,84.53,196.9
2010,Wisconsin,recruiting,84.61,194.33
2010,TCU,recruiting,86.26,192.08
