year,team,avg,points
2009,LSU,91.51,293.15
2009,USC,93.59,289.28
2009,Alabama,91.39,288.63
2009,Georgia,91.81,283.72
2009,Ohio State,91.28,281.93
2009,Texas,92.13,277.12
2009,Florida,91.93,270.42
2009,Tennessee,90.66,264.62
2009,Oklahoma,89.6,262.78
2009,Michigan,90.41,262.72
2009,Florida State,89.94,259.63
2009,North Carolina,88.05,258.85
2009,UCLA,88.24,258.45
2009,South Carolina,87.79,257.08
2009,Notre Dame,88.46,246.29
2009,Miami,89.48,242.24
2009,Ole Miss,86.14,240.24
2009,Mississippi State,86.96,233.49
2009,Penn State,86.97,233.47
2009,Arkansas,86.54,232.93
2009,Stanford,87.45,232.43
2009,Michigan State,86.49,229.62
2009,Auburn,86.6,226.93
2009,West Virginia,86.43,225.23
2009,Virginia Tech,86.0,224.32
2009,South Florida,85.61,222.52
2009,Texas A&M,86.53,219.98
2009,Illinois,85.61,214.15
2009,Rutgers,85.76,214.01
2009,Oregon,84.51,212.76
2009,Maryland,85.21,211.59
2009,Arizona State,85.08,211.24
2009,Virginia,84.58,210.97
2009,Oklahoma State,85.33,209.57
2009,Minnesota,86.03,209.2
2009,Clemson,89.81,207.86
2009,California,86.06,206.98
2009,Missouri,85.12,206.45
2009,Texas Tech,85.6,206.43
2009,Nebraska,86.75,201.57
2009,Georgia Tech,85.47,201.51
2009,Wisconsin,84.45,199.62
2009,Pittsburgh,85.64,197.86
2009,TCU,85.65,196.02
2009,Kansas,85.4,195.98
2009,Utah,83.75,195.36
2009,Kentucky,81.9,193.54
2009,NC State,84.75,192.15
2009,Colorado,84.61,188.77
2009,Arizona,84.23,184.83
2009,Oregon State,83.13,184.11
2009,Southern Miss,83.54,183.5
2009,Baylor,82.87,183.32
2009,Duke,82.69,181.94
2009,BYU,83.38,181.77
2009,Cincinnati,81.3,176.05
2009,Louisville,82.6,174.46
2009,Tulsa,82.9,174.21
2009,Troy,77.66,172.43
2009,Vanderbilt,84.18,169.67
2009,Northwestern,83.6,169.62
2009,Wake Forest,82.22,167.36
2009,Washington State,82.86,166.89
2009,Iowa,81.98,165.44
2009,Boston College,82.84,164.59
2009,Indiana,82.34,163.75
2009,UCF,82.14,163.27
2009,Houston,81.33,162.28
2009,Boise State,81.99,161.31
2009,Kansas State,82.22,160.93
2009,Purdue,81.97,160.65
2009,Iowa State,82.28,159.69
2009,SMU,80.94,159.25
2009,Louisiana Tech,80.63,155.85
2009,Washington,81.44,154.97
2009,Central Michigan,79.67,154.04
2009,FIU,79.66,152.22
2009,Hawaii,80.44,151.83
2009,Tulane,79.99,150.56
2009,UAB,78.75,149.82
2009,UConn,80.35,142.56
2009,Middle Tennessee,79.5,135.97
2009,Rice,79.18,133.54
2009,UNLV,79.84,132.75
2009,San Diego State,79.22,131.67
2009,Toledo,77.3,131.44
2009,Fresno State,79.66,130.4
