year,team,recruiting_avg,recruiting_points,overall_avg,overall_points,transfer_avg,transfer_points
2009,air force,77.06,95.62,,,,
2009,akron,78.25,124.68,,,,
2009,alabama,91.39,288.63,,,,
2009,alabama state,76.67,6.67,,,,
2009,arizona,84.23,184.83,,,,
2009,arizona state,85.08,211.24,,,,
2009,arkansas,86.54,232.93,,,,
2009,arkansas state,74.9,80.06,,,,
2009,army,73.64,68.46,,,,
2009,auburn,86.6,226.93,,,,
2009,baylor,82.87,183.32,,,,
2009,boise state,81.99,161.31,,,,
2009,boston college,82.84,164.59,,,,
2009,bowling green,78.75,129.11,,,,
2009,buffalo,75.11,90.58,,,,
2009,byu,83.38,181.77,,,,
2009,california,86.06,206.98,,,,
2009,central michigan,79.67,154.04,,,,
2009,cincinnati,81.3,176.05,,,,
2009,clemson,89.81,207.86,,,,
2009,colorado,84.61,188.77,,,,
2009,colorado state,79.0,125.17,,,,
2009,duke,82.69,181.94,,,,
2009,east carolina,77.88,124.38,,,,
2009,eastern michigan,77.29,102.1,,,,
2009,fiu,79.66,152.22,,,,
2009,florida,91.93,270.42,,,,
2009,florida state,89.94,259.63,,,,
2009,fresno state,79.66,130.4,,,,
2009,georgia,91.81,283.72,,,,
2009,georgia tech,85.47,201.51,,,,
2009,hawaii,80.44,151.83,,,,
2009,houston,81.33,162.28,,,,
2009,idaho,74.84,78.81,,,,
2009,illinois,85.61,214.15,,,,
2009,illinois state,88.75,18.75,,,,
2009,indiana,82.34,163.75,,,,
2009,iowa,81.98,165.44,,,,
2009,iowa state,82.28,159.69,,,,
2009,kansas,85.4,195.98,,,,
2009,kansas state,82.22,160.93,,,,
2009,kent state,77.8,125.9,,,,
2009,kentucky,81.9,193.54,,,,
2009,louisiana,75.77,77.11,,,,
2009,louisiana tech,80.63,155.85,,,,
2009,louisville,82.6,174.46,,,,
2009,lsu,91.51,293.15,,,,
2009,marshall,78.55,128.95,,,,
2009,maryland,85.21,211.59,,,,
2009,memphis,79.24,130.01,,,,
2009,miami (fl),89.48,242.24,,,,
2009,miami (oh),78.36,129.69,,,,
2009,michigan,90.41,262.72,,,,
2009,michigan state,86.49,229.62,,,,
2009,middle tennessee,79.5,135.97,,,,
2009,minnesota,86.03,209.2,,,,
2009,mississippi state,86.96,233.49,,,,
2009,missouri,85.12,206.45,,,,
2009,navy,73.89,19.31,,,,
2009,nc state,84.75,192.15,,,,
2009,nebraska,86.75,201.57,,,,
2009,nevada,78.82,120.06,,,,
2009,new mexico,76.65,95.54,,,,
2009,new mexico state,76.78,91.92,,,,
2009,north carolina,88.05,258.85,,,,
2009,north texas,79.09,116.92,,,,
2009,northern illinois,77.41,114.72,,,,
2009,northwestern,83.6,169.62,,,,
2009,notre dame,88.46,246.29,,,,
2009,ohio,76.08,105.11,,,,
2009,ohio state,91.28,281.93,,,,
2009,oklahoma,89.6,262.78,,,,
2009,oklahoma state,85.33,209.57,,,,
2009,ole miss,86.14,240.24,,,,
2009,oregon,84.51,212.76,,,,
2009,oregon state,83.13,184.11,,,,
2009,penn state,86.97,233.47,,,,
2009,pittsburgh,85.64,197.86,,,,
2009,purdue,81.97,160.65,,,,
2009,rice,79.18,133.54,,,,
2009,rutgers,85.76,214.01,,,,
2009,san diego state,79.22,131.67,,,,
2009,san jose state,70.0,0.0,,,,
2009,smu,80.94,159.25,,,,
2009,south carolina,87.79,257.08,,,,
2009,southern miss,83.54,183.5,,,,
2009,stanford,87.45,232.43,,,,
2009,syracuse,80.49,128.0,,,,
2009,tcu,85.65,196.02,,,,
2009,temple,74.33,82.03,,,,
2009,tennessee,90.66,264.62,,,,
2009,texas,92.13,277.12,,,,
2009,texas a&m,86.53,219.98,,,,
2009,texas tech,85.6,206.43,,,,
2009,toledo,77.3,131.44,,,,
2009,troy,77.66,172.43,,,,
2009,tulane,79.99,150.56,,,,
2009,tulsa,82.9,174.21,,,,
2009,uab,78.75,149.82,,,,
2009,ucf,82.14,163.27,,,,
2009,ucla,88.24,258.45,,,,
2009,uconn,80.35,142.56,,,,
2009,ul monroe,77.15,116.77,,,,
2009,unlv,79.84,132.75,,,,
2009,usc,93.59,289.28,,,,
2009,usf,85.61,222.52,,,,
2009,utah,83.75,195.36,,,,
2009,utah state,75.8,84.41,,,,
2009,vanderbilt,84.18,169.67,,,,
2009,virginia,84.58,210.97,,,,
2009,virginia tech,86.0,224.32,,,,
2009,wake forest,82.22,167.36,,,,
2009,washington,81.44,154.97,,,,
2009,washington state,82.86,166.89,,,,
2009,west virginia,86.43,225.23,,,,
2009,western michigan,78.67,123.17,,,,
2009,wisconsin,84.45,199.62,,,,
2009,wyoming,78.63,124.54,,,,
2010,air force,83.13,26.17,,,,
2010,akron,79.77,136.89,,,,
2010,alabama,89.95,284.2,,,,
2010,arizona,84.05,183.75,,,,
2010,arizona state,85.55,203.28,,,,
2010,arkansas,84.2,203.21,,,,
2010,arkansas state,79.81,142.14,,,,
2010,army,74.81,99.95,,,,
2010,auburn,88.09,277.2,,,,
2010,ball state,81.06,142.28,,,,
2010,baylor,85.0,206.15,,,,
2010,boise state,81.91,115.97,,,,
2010,boston college,84.53,196.9,,,,
2010,bowling green,80.36,146.16,,,,
2010,buffalo,79.33,125.67,,,,
2010,byu,85.24,211.56,,,,
2010,california,88.89,233.8,,,,
2010,central michigan,80.15,127.67,,,,
2010,cincinnati,83.03,184.21,,,,
2010,clemson,85.94,218.08,,,,
2010,colorado,83.75,183.91,,,,
2010,colorado state,82.55,172.59,,,,
2010,duke,82.62,171.81,,,,
2010,east carolina,81.68,152.95,,,,
2010,eastern michigan,78.41,110.9,,,,
2010,fiu,81.79,153.54,,,,
2010,florida,93.99,324.62,,,,
2010,florida atlantic,78.18,66.11,,,,
2010,florida state,89.2,271.41,,,,
2010,fresno state,83.69,175.17,,,,
2010,georgia,90.41,259.87,,,,
2010,georgia southern,83.33,13.33,,,,
2010,georgia state,70.0,0.0,,,,
2010,georgia tech,84.78,201.21,,,,
2010,hawaii,80.86,155.71,,,,
2010,houston,84.36,185.42,,,,
2010,idaho,79.39,140.01,,,,
2010,illinois,83.04,180.07,,,,
2010,indiana,82.68,164.39,,,,
2010,iowa,83.81,208.14,,,,
2010,iowa state,81.94,175.2,,,,
2010,kansas,82.63,177.9,,,,
2010,kansas state,81.63,164.45,,,,
2010,kent state,80.71,138.28,,,,
2010,kentucky,84.22,190.83,,,,
2010,louisiana,75.85,86.44,,,,
2010,louisiana tech,82.53,154.22,,,,
2010,louisville,84.24,197.18,,,,
2010,lsu,89.86,267.84,,,,
2010,marshall,80.61,164.29,,,,
2010,maryland,85.91,205.67,,,,
2010,memphis,81.43,172.54,,,,
2010,miami (fl),87.48,249.55,,,,
2010,miami (oh),79.92,138.32,,,,
2010,michigan,87.46,237.54,,,,
2010,michigan state,85.72,225.56,,,,
2010,middle tennessee,76.6,88.46,,,,
2010,minnesota,83.71,186.47,,,,
2010,mississippi state,84.41,212.47,,,,
2010,missouri,87.77,229.0,,,,
2010,navy,77.88,38.65,,,,
2010,nc state,85.08,208.25,,,,
2010,nebraska,87.29,219.7,,,,
2010,nevada,80.0,144.64,,,,
2010,new hampshire,76.67,6.67,,,,
2010,new mexico,82.13,157.08,,,,
2010,new mexico state,79.99,132.06,,,,
2010,norfolk state,76.67,6.67,,,,
2010,north carolina,87.44,224.64,,,,
2010,north texas,76.13,83.28,,,,
2010,northern illinois,78.98,139.25,,,,
2010,northwestern,85.55,176.85,,,,
2010,notre dame,88.44,241.92,,,,
2010,ohio,78.48,101.59,,,,
2010,ohio state,87.57,237.38,,,,
2010,oklahoma,90.85,283.58,,,,
2010,oklahoma state,86.28,213.1,,,,
2010,ole miss,86.64,223.7,,,,
2010,oregon,87.74,250.88,,,,
2010,oregon state,85.01,178.62,,,,
2010,penn state,90.64,249.63,,,,
2010,pittsburgh,86.43,212.43,,,,
2010,purdue,83.25,186.34,,,,
2010,rice,81.79,144.16,,,,
2010,rutgers,83.73,186.09,,,,
2010,san diego state,81.53,165.98,,,,
2010,san jose state,79.72,140.49,,,,
2010,smu,82.61,177.12,,,,
2010,south carolina,84.12,210.39,,,,
2010,southern miss,84.4,191.15,,,,
2010,stanford,87.38,223.33,,,,
2010,syracuse,82.7,180.14,,,,
2010,tcu,86.26,192.08,,,,
2010,temple,79.41,141.31,,,,
2010,tennessee,88.45,271.56,,,,
2010,texas,93.9,312.07,,,,
2010,texas a&m,87.72,240.98,,,,
2010,texas tech,84.69,207.32,,,,
2010,toledo,80.32,149.24,,,,
2010,troy,77.41,117.28,,,,
2010,tulane,80.03,145.27,,,,
2010,tulsa,82.65,172.19,,,,
2010,uab,80.86,150.49,,,,
2010,ucf,84.12,189.21,,,,
2010,ucla,89.55,263.81,,,,
2010,uconn,81.72,151.1,,,,
2010,ul monroe,76.19,85.12,,,,
2010,unlv,79.97,136.45,,,,
2010,usc,93.37,294.73,,,,
2010,usf,84.4,182.46,,,,
2010,utah,86.05,202.2,,,,
2010,utah state,78.44,127.94,,,,
2010,utep,80.09,150.87,,,,
2010,vanderbilt,84.18,188.39,,,,
2010,virginia,83.58,170.27,,,,
2010,virginia tech,87.2,214.01,,,,
2010,wake forest,83.67,178.48,,,,
2010,washington,85.73,234.35,,,,
2010,washington state,82.74,177.38,,,,
2010,west virginia,86.46,211.69,,,,
2010,western kentucky,80.54,126.31,,,,
2010,western michigan,80.73,146.63,,,,
2010,wisconsin,84.61,194.33,,,,
2010,wyoming,78.9,138.94,,,,
2011,air force,75.93,77.86,,,,
2011,akron,73.33,50.3,,,,
2011,alabama,92.19,298.5,,,,
2011,appalachian state,74.32,4.32,,,,
2011,arizona,82.06,166.94,,,,
2011,arizona state,83.39,146.68,,,,
2011,arkansas,85.25,226.22,,,,
2011,arkansas state,72.63,48.25,,,,
2011,army,76.14,77.89,,,,
2011,auburn,89.58,281.02,,,,
2011,ball state,74.44,60.53,,,,
2011,baylor,82.66,169.94,,,,
2011,bethune-cookman,75.99,5.99,,,,
2011,boise state,81.79,159.98,,,,
2011,boston college,83.2,180.89,,,,
2011,bowling green,74.99,77.59,,,,
2011,buffalo,74.17,61.88,,,,
2011,byu,81.12,143.97,,,,
2011,california,88.87,249.7,,,,
2011,central michigan,74.65,75.64,,,,
2011,cincinnati,82.46,168.77,,,,
2011,clemson,87.17,269.69,,,,
2011,colorado,81.55,147.7,,,,
2011,colorado state,77.89,122.79,,,,
2011,duke,81.93,149.33,,,,
2011,east carolina,79.31,138.07,,,,
2011,eastern illinois,70.0,0.0,,,,
2011,eastern michigan,73.1,53.69,,,,
2011,fiu,74.49,76.24,,,,
2011,florida,90.51,258.24,,,,
2011,florida atlantic,73.96,60.49,,,,
2011,florida state,90.48,297.03,,,,
2011,fresno state,74.89,67.3,,,,
2011,georgia,89.86,278.18,,,,
2011,georgia tech,83.21,174.84,,,,
2011,harvard,76.67,13.29,,,,
2011,hawaii,73.77,73.77,,,,
2011,holy cross,81.46,11.46,,,,
2011,houston,79.05,133.64,,,,
2011,idaho,72.89,48.78,,,,
2011,illinois,83.17,183.92,,,,
2011,indiana,81.13,158.62,,,,
2011,indiana state,70.0,0.0,,,,
2011,iowa,84.55,208.64,,,,
2011,iowa state,81.26,153.86,,,,
2011,kansas,83.68,178.77,,,,
2011,kansas state,81.67,161.75,,,,
2011,kent state,73.35,45.57,,,,
2011,kentucky,84.06,184.89,,,,
2011,liberty,83.33,13.33,,,,
2011,louisiana,75.35,91.52,,,,
2011,louisiana tech,72.79,51.59,,,,
2011,louisville,86.01,208.34,,,,
2011,lsu,90.23,272.65,,,,
2011,marshall,80.85,152.84,,,,
2011,maryland,82.03,162.97,,,,
2011,massachusetts,76.67,6.67,,,,
2011,memphis,77.97,122.48,,,,
2011,miami (fl),84.42,198.68,,,,
2011,miami (oh),74.41,57.32,,,,
2011,michigan,86.0,205.16,,,,
2011,michigan state,85.76,198.83,,,,
2011,middle tennessee,75.16,66.67,,,,
2011,minnesota,81.41,157.15,,,,
2011,mississippi state,83.23,178.1,,,,
2011,missouri,84.3,158.06,,,,
2011,navy,76.27,81.56,,,,
2011,nc state,80.44,139.33,,,,
2011,nebraska,88.32,245.6,,,,
2011,nevada,72.95,50.28,,,,
2011,new mexico,73.17,57.85,,,,
2011,new mexico state,71.75,30.13,,,,
2011,north carolina,86.65,230.93,,,,
2011,north dakota state,70.0,0.0,,,,
2011,north texas,73.12,55.16,,,,
2011,northern illinois,74.31,67.82,,,,
2011,northern iowa,79.71,28.92,,,,
2011,northwestern,83.37,150.59,,,,
2011,notre dame,89.96,271.38,,,,
2011,ohio,74.46,67.8,,,,
2011,ohio state,90.25,278.47,,,,
2011,oklahoma,90.91,256.79,,,,
2011,oklahoma state,85.64,212.82,,,,
2011,old dominion,74.16,8.32,,,,
2011,ole miss,86.79,226.45,,,,
2011,oregon,89.24,257.09,,,,
2011,oregon state,82.73,175.84,,,,
2011,penn state,86.97,201.4,,,,
2011,pittsburgh,80.44,150.28,,,,
2011,purdue,80.98,129.88,,,,
2011,rice,74.85,67.71,,,,
2011,rutgers,84.84,205.88,,,,
2011,san diego state,78.34,118.44,,,,
2011,san jose state,73.13,48.83,,,,
2011,smu,79.6,144.59,,,,
2011,south alabama,76.33,76.36,,,,
2011,south carolina,86.54,244.09,,,,
2011,south carolina state,79.08,18.1,,,,
2011,southern miss,74.82,83.64,,,,
2011,stanford,87.83,221.85,,,,
2011,syracuse,80.89,155.37,,,,
2011,tcu,85.78,207.48,,,,
2011,temple,76.98,93.88,,,,
2011,tennessee,88.44,253.78,,,,
2011,texas,91.42,284.05,,,,
2011,texas a&m,83.51,193.44,,,,
2011,texas state,82.55,12.55,,,,
2011,texas tech,86.46,230.54,,,,
2011,toledo,78.51,132.9,,,,
2011,troy,73.28,51.83,,,,
2011,tulane,78.04,110.8,,,,
2011,tulsa,77.98,113.38,,,,
2011,uab,73.51,61.54,,,,
2011,ucf,80.96,158.74,,,,
2011,ucla,83.77,172.23,,,,
2011,uconn,79.56,117.6,,,,
2011,ul monroe,74.26,57.72,,,,
2011,unlv,73.02,53.88,,,,
2011,usc,89.4,286.99,,,,
2011,usf,80.25,143.19,,,,
2011,utah,85.55,182.11,,,,
2011,utah state,72.57,56.53,,,,
2011,utep,72.06,35.04,,,,
2011,utsa,76.67,6.67,,,,
